book_id,title,price,adjusted_price,price_change_pct,similarity_score,availability,demand_level,stock_level,profit_or_loss
256,Lies and Other Acts of Love,45.14,42.88,-0.05,0.0162,11,Low,Medium Stock,Loss
257,Daredevils,16.34,16.34,0.0,0.0288,11,Medium,Medium Stock,Neutral
258,11/22/63,48.48,48.48,0.0,0.0297,11,Medium,Medium Stock,Neutral
259,The Shack,28.03,26.63,-0.05,0.0109,9,Low,Low Stock,Loss
260,The High Mountains of Portugal,51.15,48.59,-0.05,0.0,8,Low,Low Stock,Loss
261,Miller's Valley,58.54,55.61,-0.05,0.0129,8,Low,Low Stock,Loss
262,Hystopia: A Novel,21.96,23.06,0.05,0.036,8,Medium,Low Stock,Profit
263,The Bourne Identity (Jason Bourne #1),42.78,44.92,0.05,0.0313,7,Medium,Low Stock,Profit
264,Sister Dear,40.2,42.21,0.05,0.0227,7,Medium,Low Stock,Profit
265,Memoirs of a Geisha,49.67,47.19,-0.05,0.0199,7,Low,Low Stock,Loss
266,Me Before You (Me Before You #1),19.02,18.07,-0.05,0.0143,6,Low,Low Stock,Loss
267,Deception Point,40.32,48.38,0.2,0.0664,6,High,Low Stock,Profit
268,The Little Paris Bookshop,24.73,25.97,0.05,0.0487,5,Medium,Low Stock,Profit
269,The Firm,45.56,47.84,0.05,0.0332,5,Medium,Low Stock,Profit
270,The Expatriates,44.58,46.81,0.05,0.0465,5,Medium,Low Stock,Profit
271,Siddhartha,34.22,41.06,0.2,0.1377,5,High,Low Stock,Profit
272,Last One Home (New Beginnings #1),59.98,56.98,-0.05,0.0125,5,Low,Low Stock,Loss
273,Digital Fortress,58.0,69.6,0.2,0.1062,5,High,Low Stock,Profit
274,Atlas Shrugged,26.58,25.25,-0.05,0.0171,4,Low,Low Stock,Loss
275,Three-Martini Lunch,23.21,24.37,0.05,0.032,3,Medium,Low Stock,Profit
276,The Nightingale,26.26,24.95,-0.05,0.0197,3,Low,Low Stock,Loss
277,The Infinities,27.41,26.04,-0.05,0.0157,3,Low,Low Stock,Loss
278,The Husband's Secret,52.51,63.01,0.2,0.137,3,High,Low Stock,Profit
279,The Da Vinci Code (Robert Langdon #2),22.96,27.55,0.2,0.08,3,High,Low Stock,Profit
280,The Art of Fielding,22.1,21.0,-0.05,0.0095,3,Low,Low Stock,Loss
281,Lila (Gilead #3),12.47,11.85,-0.05,0.0087,3,Low,Low Stock,Loss
282,Jurassic Park (Jurassic Park #1),44.97,47.22,0.05,0.0343,3,Medium,Low Stock,Profit
283,Inferno (Robert Langdon #4),41.0,43.05,0.05,0.0299,3,Medium,Low Stock,Profit
284,Crazy Rich Asians (Crazy Rich Asians #1),49.13,46.67,-0.05,0.0149,3,Low,Low Stock,Loss
285,Big Little Lies,22.11,21.0,-0.05,0.015,3,Low,Low Stock,Loss
286,The Course of Love,16.78,17.62,0.05,0.0286,2,Medium,Low Stock,Profit
287,When I'm Gone,51.96,54.56,0.05,0.0243,1,Medium,Low Stock,Profit
288,The Silent Wife,12.34,12.96,0.05,0.0479,1,Medium,Low Stock,Profit
289,The Bette Davis Club,30.66,29.13,-0.05,0.0196,1,Low,Low Stock,Loss
290,Kitchens of the Great Midwest,57.2,60.06,0.05,0.0332,1,Medium,Low Stock,Profit
291,Bright Lines,39.07,37.12,-0.05,0.0181,1,Low,Low Stock,Loss
292,Birdsong: A Story in Pictures,54.64,54.64,0.0,0.0341,19,Medium,Medium Stock,Neutral
293,The Bear and the Piano,36.89,36.89,0.0,0.0258,18,Medium,Medium Stock,Neutral
294,The Secret of Dreadwillow Carse,56.13,53.32,-0.05,0.0113,16,Low,Medium Stock,Loss
295,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,55.18,-0.05,0.0034,15,Low,Medium Stock,Loss
296,Little Red,13.47,12.8,-0.05,0.0,15,Low,Medium Stock,Loss
297,Walt Disney's Alice in Wonderland,12.96,12.31,-0.05,0.0067,14,Low,Medium Stock,Loss
298,Twenty Yawns,22.08,20.98,-0.05,0.0163,14,Low,Medium Stock,Loss
299,Rain Fish,23.57,25.93,0.1,0.0653,14,High,Medium Stock,Profit
300,Once Was a Time,18.28,18.28,0.0,0.0362,14,Medium,Medium Stock,Neutral
301,Luis Paints the World,53.95,51.25,-0.05,0.0178,14,Low,Medium Stock,Loss
302,Nap-a-Roo,25.08,23.83,-0.05,0.0073,9,Low,Low Stock,Loss
303,The Whale,35.96,37.76,0.05,0.0207,7,Medium,Low Stock,Profit
304,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,50.23,-0.05,0.0079,7,Low,Low Stock,Loss
305,Raymie Nightingale,34.41,36.13,0.05,0.0255,7,Medium,Low Stock,Profit
306,Playing from the Heart,32.38,38.86,0.2,0.0598,7,High,Low Stock,Profit
307,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,27.05,0.2,0.0601,5,High,Low Stock,Profit
308,The Wild Robot,56.07,67.28,0.2,0.0659,3,High,Low Stock,Profit
309,The Thing About Jellyfish,48.77,58.52,0.2,0.0562,3,High,Low Stock,Profit
310,The Lonely Ones,43.59,41.41,-0.05,0.0191,3,Low,Low Stock,Loss
311,The Day the Crayons Came Home (Crayons),26.33,31.6,0.2,0.0507,3,High,Low Stock,Profit
312,The Cat in the Hat (Beginner Books B-1),16.26,19.51,0.2,0.0594,3,High,Low Stock,Profit
313,Red: The True Story of Red Riding Hood,28.54,27.11,-0.05,0.0172,3,Low,Low Stock,Loss
314,Horrible Bear!,37.52,39.4,0.05,0.0215,3,Medium,Low Stock,Profit
315,Green Eggs and Ham (Beginner Books B-16),10.79,12.95,0.2,0.0582,3,High,Low Stock,Profit
316,Counting Thyme,10.62,11.15,0.05,0.0273,3,Medium,Low Stock,Profit
317,Are We There Yet?,10.66,11.19,0.05,0.0433,3,Medium,Low Stock,Profit
318,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,50.24,-0.05,0.0072,2,Low,Low Stock,Loss
319,Matilda,28.34,26.92,-0.05,0.0196,1,Low,Low Stock,Loss
320,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,23.99,0.05,0.0409,1,Medium,Low Stock,Profit
321,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,37.97,0.0,0.0277,16,Medium,Medium Stock,Neutral
322,You Are What You Love: The Spiritual Power of Habit,21.87,24.06,0.1,0.0567,15,High,Medium Stock,Profit
323,God: The Most Unpleasant Character in All Fiction,30.03,28.53,-0.05,0.0071,14,Low,Medium Stock,Loss
324,The Book of Mormon,24.57,23.34,-0.05,0.01,9,Low,Low Stock,Loss
325,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,33.14,0.2,0.0538,4,High,Low Stock,Profit
326,The Bhagavad Gita,57.49,68.99,0.2,0.0629,1,High,Low Stock,Profit
327,Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,27.0,-0.05,0.0149,1,Low,Low Stock,Loss
328,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,44.33,0.1,0.0562,18,High,Medium Stock,Profit
329,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,34.16,0.1,0.0894,18,High,Medium Stock,Profit
330,Reasons to Stay Alive,26.41,29.05,0.1,0.0561,17,High,Medium Stock,Profit
331,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,23.11,0.0,0.0423,17,Medium,Medium Stock,Neutral
332,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,44.18,0.0,0.0303,16,Medium,Medium Stock,Neutral
333,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,34.23,0.1,0.1865,16,High,Medium Stock,Profit
334,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,15.93,-0.05,0.0185,16,Low,Medium Stock,Loss
335,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,35.27,-0.05,0.0133,16,Low,Medium Stock,Loss
336,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,53.26,-0.05,0.0032,16,Low,Medium Stock,Loss
337,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,41.83,0.0,0.0234,16,Medium,Medium Stock,Neutral
338,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,21.81,0.1,0.056,16,High,Medium Stock,Profit
339,In the Country We Love: My Family Divided,22.0,22.0,0.0,0.0236,16,Medium,Medium Stock,Neutral
340,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,59.78,0.1,0.2007,16,High,Medium Stock,Profit
341,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,29.14,0.0,0.0473,16,Medium,Medium Stock,Neutral
342,Algorithms to Live By: The Computer Science of Human Decisions,30.81,33.89,0.1,0.0958,16,High,Medium Stock,Profit
343,The Power of Now: A Guide to Spiritual Enlightenment,43.54,43.54,0.0,0.0205,15,Medium,Medium Stock,Neutral
344,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,38.21,0.0,0.0284,15,Medium,Medium Stock,Neutral
345,The Genius of Birds,17.24,17.24,0.0,0.0256,15,Medium,Medium Stock,Neutral
346,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,38.49,0.0,0.0356,15,Medium,Medium Stock,Neutral
347,So You've Been Publicly Shamed,12.23,13.45,0.1,0.077,15,High,Medium Stock,Profit
348,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,19.43,0.0,0.0417,15,Medium,Medium Stock,Neutral
349,Big Magic: Creative Living Beyond Fear,30.8,30.8,0.0,0.0284,15,Medium,Medium Stock,Neutral
350,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,27.43,0.0,0.0489,15,Medium,Medium Stock,Neutral
351,Agnostic: A Spirited Manifesto,12.51,11.88,-0.05,0.0136,15,Low,Medium Stock,Loss
352,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,42.02,0.1,0.0542,14,High,Medium Stock,Profit
353,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,21.56,0.1,0.0799,14,High,Medium Stock,Profit
354,The Year of Magical Thinking,43.04,43.04,0.0,0.031,14,Medium,Medium Stock,Neutral
355,The Literature Book (Big Ideas Simply Explained),17.43,17.43,0.0,0.0392,14,Medium,Medium Stock,Neutral
356,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,15.77,0.0,0.0409,14,Medium,Medium Stock,Neutral
357,Swell: A Year of Waves,45.58,43.3,-0.05,0.0185,14,Low,Medium Stock,Loss
358,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,24.14,0.1,0.0596,14,High,Medium Stock,Profit
359,Looking for Lovely: Collecting the Moments that Matter,29.14,29.14,0.0,0.0228,14,Medium,Medium Stock,Neutral
360,Let It Out: A Journey Through Journaling,26.79,25.45,-0.05,0.0198,14,Low,Medium Stock,Loss
361,Hamilton: The Revolution,58.79,55.85,-0.05,0.0181,14,Low,Medium Stock,Loss
362,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,15.06,0.0,0.0373,14,Medium,Medium Stock,Neutral
363,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,51.75,0.0,0.0324,14,Medium,Medium Stock,Neutral
364,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,41.58,0.1,0.0627,14,High,Medium Stock,Profit
365,Brain on Fire: My Month of Madness,49.32,49.32,0.0,0.0391,14,Medium,Medium Stock,Neutral
366,Abstract City,56.37,62.01,0.1,0.088,14,High,Medium Stock,Profit
367,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,25.71,-0.05,0.0136,13,Low,Medium Stock,Loss
368,The Lonely City: Adventures in the Art of Being Alone,33.26,36.59,0.1,0.0622,12,High,Medium Stock,Profit
369,The Diary of a Young Girl,59.9,65.89,0.1,0.0555,12,High,Medium Stock,Profit
370,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,21.21,0.0,0.0442,12,Medium,Medium Stock,Neutral
371,Furiously Happy: A Funny Book About Horrible Things,41.46,39.39,-0.05,0.009,12,Low,Medium Stock,Loss
372,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,11.68,0.0,0.0278,11,Medium,Medium Stock,Neutral
373,"Mother, Can You Not?",16.89,16.89,0.0,0.0279,11,Medium,Medium Stock,Neutral
374,A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,19.53,0.0,0.0289,11,Medium,Medium Stock,Neutral
375,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,29.48,0.2,0.0721,10,High,Low Stock,Profit
376,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,43.1,0.2,0.1597,9,High,Low Stock,Profit
377,"Zero to One: Notes on Startups, or How to Build the Future",34.06,40.87,0.2,0.085,8,High,Low Stock,Profit
378,Why Not Me?,17.76,18.65,0.05,0.0375,8,Medium,Low Stock,Profit
379,When Breath Becomes Air,39.36,41.33,0.05,0.0356,8,Medium,Low Stock,Profit
380,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,34.14,0.2,0.066,8,High,Low Stock,Profit
381,Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,46.67,0.2,0.1466,8,High,Low Stock,Profit
382,Rising Strong,21.82,26.18,0.2,0.0585,8,High,Low Stock,Profit
383,Man's Search for Meaning,29.48,28.01,-0.05,0.0172,8,Low,Low Stock,Loss
384,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,26.31,0.05,0.0319,8,Medium,Low Stock,Profit
385,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,13.18,0.05,0.0333,8,Medium,Low Stock,Profit
386,I Will Find You,44.21,46.42,0.05,0.0431,8,Medium,Low Stock,Profit
387,Brazen: The Courage to Find the You That's Been Hiding,19.22,20.18,0.05,0.0455,8,Medium,Low Stock,Profit
388,Between the World and Me,56.91,68.29,0.2,0.0753,8,High,Low Stock,Profit
389,Being Mortal: Medicine and What Matters in the End,55.06,57.81,0.05,0.0342,8,Medium,Low Stock,Profit
390,"A Murder Over a Girl: Justice, Gender, Junior High",13.2,13.86,0.05,0.0253,8,Medium,Low Stock,Profit
391,For the Love: Fighting for Grace in a World of Impossible Standards,45.13,54.16,0.2,0.0543,7,High,Low Stock,Profit
392,Finding God in the Ruins: How God Redeems Pain,46.64,44.31,-0.05,0.0,7,Low,Low Stock,Loss
393,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,62.42,0.05,0.0267,6,Medium,Low Stock,Profit
394,In Cold Blood,49.98,47.48,-0.05,0.0096,6,Low,Low Stock,Loss
395,"Girl, Interrupted",42.14,44.25,0.05,0.0347,6,Medium,Low Stock,Profit
396,Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,58.4,0.2,0.0754,5,High,Low Stock,Profit
397,Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,23.89,-0.05,0.015,5,Low,Low Stock,Loss
398,My Mother Was Nuts,31.63,33.21,0.05,0.0239,5,Medium,Low Stock,Profit
399,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,38.82,0.2,0.1227,5,High,Low Stock,Profit
400,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,46.45,0.2,0.1674,4,High,Low Stock,Profit
401,The Gunning of America: Business and the Making of American Gun Culture,16.81,17.65,0.05,0.0284,4,Medium,Low Stock,Profit
402,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,29.64,0.05,0.0399,4,Medium,Low Stock,Profit
403,God Is Not Great: How Religion Poisons Everything,27.8,26.41,-0.05,0.0187,4,Low,Low Stock,Loss
404,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,33.55,0.05,0.0384,3,Medium,Low Stock,Profit
405,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,60.79,0.2,0.0863,3,High,Low Stock,Profit
406,"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,60.99,0.05,0.0321,3,Medium,Low Stock,Profit
407,Under the Banner of Heaven: A Story of Violent Faith,30.0,28.5,-0.05,0.0137,3,Low,Low Stock,Loss
408,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,64.21,0.2,0.059,3,High,Low Stock,Profit
409,The Name of God is Mercy,37.25,39.11,0.05,0.0383,3,Medium,Low Stock,Profit
410,Stiff: The Curious Lives of Human Cadavers,36.74,34.9,-0.05,0.0176,3,Low,Low Stock,Loss
411,Spilled Milk: Based on a True Story,49.51,59.41,0.2,0.1725,3,High,Low Stock,Profit
412,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,50.0,0.2,0.0641,3,High,Low Stock,Profit
413,Outliers: The Story of Success,14.16,13.45,-0.05,0.0188,3,Low,Low Stock,Loss
414,Notes from a Small Island (Notes From a Small Island #1),40.17,48.2,0.2,0.0855,3,High,Low Stock,Profit
415,Night (The Night Trilogy #1),13.51,16.21,0.2,0.0679,3,High,Low Stock,Profit
416,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,60.72,0.05,0.04,3,Medium,Low Stock,Profit
417,Letter to a Christian Nation,22.2,26.64,0.2,0.071,3,High,Low Stock,Profit
418,Let's Pretend This Never Happened: A Mostly True Memoir,45.11,42.85,-0.05,0.0154,3,Low,Low Stock,Loss
419,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,50.86,0.2,0.0541,3,High,Low Stock,Profit
420,Into the Wild,56.7,59.54,0.05,0.0211,3,Medium,Low Stock,Profit
421,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,27.41,-0.05,0.0172,3,Low,Low Stock,Loss
422,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,34.66,0.2,0.0663,3,High,Low Stock,Profit
423,Gratitude,26.66,31.99,0.2,0.0556,3,High,Low Stock,Profit
424,Disrupted: My Misadventure in the Start-Up Bubble,15.28,16.04,0.05,0.0332,3,Medium,Low Stock,Profit
425,Brave Enough,51.32,53.89,0.05,0.0236,3,Medium,Low Stock,Profit
426,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,28.72,0.05,0.0202,3,Medium,Low Stock,Profit
427,Blink: The Power of Thinking Without Thinking,21.74,22.83,0.05,0.02,3,Medium,Low Stock,Profit
428,Black Flags: The Rise of ISIS,40.87,42.91,0.05,0.0339,3,Medium,Low Stock,Profit
429,Are We Smart Enough to Know How Smart Animals Are?,56.58,59.41,0.05,0.0432,3,Medium,Low Stock,Profit
430,A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,32.0,0.05,0.0259,3,Medium,Low Stock,Profit
431,"The Suffragettes (Little Black Classics, #96)",11.89,14.27,0.2,0.0508,2,High,Low Stock,Profit
432,Kindle Paperwhite User's Guide,34.0,40.8,0.2,0.0767,2,High,Low Stock,Profit
433,H is for Hawk,57.42,60.29,0.05,0.0378,2,Medium,Low Stock,Profit
434,Travels with Charley: In Search of America,57.82,60.71,0.05,0.0345,1,Medium,Low Stock,Profit
435,The Tumor,41.56,43.64,0.05,0.0299,1,Medium,Low Stock,Profit
436,The End of the Jesus Era (An Investigation #1),14.4,13.68,-0.05,0.0102,1,Low,Low Stock,Loss
437,"Eat, Pray, Love",51.32,53.89,0.05,0.03,1,Medium,Low Stock,Profit
438,Rip it Up and Start Again,35.02,35.02,0.0,0.0491,19,Medium,Medium Stock,Neutral
439,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,62.98,0.1,0.0664,19,High,Medium Stock,Profit
440,How Music Works,37.32,37.32,0.0,0.0391,19,Medium,Medium Stock,Neutral
441,Love Is a Mix Tape (Music #1),18.03,18.03,0.0,0.0283,14,Medium,Medium Stock,Neutral
442,Please Kill Me: The Uncensored Oral History of Punk,31.19,32.75,0.05,0.0395,8,Medium,Low Stock,Profit
443,Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,42.8,-0.05,0.0198,8,Low,Low Stock,Loss
444,"Chronicles, Vol. 1",52.6,55.23,0.05,0.0281,7,Medium,Low Stock,Profit
445,This Is Your Brain on Music: The Science of a Human Obsession,38.4,36.48,-0.05,0.0198,5,Low,Low Stock,Loss
446,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,12.98,0.05,0.0434,4,Medium,Low Stock,Profit
447,No One Here Gets Out Alive,20.02,19.02,-0.05,0.0166,4,Low,Low Stock,Loss
448,Life,31.58,33.16,0.05,0.0222,2,Medium,Low Stock,Profit
449,Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,58.44,0.05,0.0222,1,Medium,Low Stock,Profit
450,Forever Rockers (The Rocker #12),28.8,27.36,-0.05,0.0104,1,Low,Low Stock,Loss
451,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,17.93,0.0,0.0287,19,Medium,Medium Stock,Neutral
452,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,22.6,0.0,0.0295,19,Medium,Medium Stock,Neutral
453,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,13.99,0.0,0.0224,19,Medium,Medium Stock,Neutral
454,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,21.38,-0.05,0.0052,19,Low,Medium Stock,Loss
455,Aladdin and His Wonderful Lamp,53.13,53.13,0.0,0.0228,19,Medium,Medium Stock,Neutral
456,Penny Maybe,33.29,36.62,0.1,0.0559,18,High,Medium Stock,Profit
457,Maude (1883-1993):She Grew Up with the country,18.02,18.02,0.0,0.0296,18,Medium,Medium Stock,Neutral
458,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,22.65,0.1,0.0634,16,High,Medium Stock,Profit
459,Soul Reader,39.58,37.6,-0.05,0.0,16,Low,Medium Stock,Loss
460,Bossypants,49.46,54.41,0.1,0.05,16,High,Medium Stock,Profit
461,A World of Flavor: Your Gluten Free Passport,42.95,47.24,0.1,0.064,16,High,Medium Stock,Profit
462,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,56.76,0.0,0.0218,16,Medium,Medium Stock,Neutral
463,Tracing Numbers on a Train,41.6,45.76,0.1,0.0585,15,High,Medium Stock,Profit
464,Thirteen Reasons Why,52.72,52.72,0.0,0.0299,15,Medium,Medium Stock,Neutral
465,The Secret (The Secret #1),27.37,30.11,0.1,0.0915,15,High,Medium Stock,Profit
466,The Psychopath Test: A Journey Through the Madness Industry,36.0,39.6,0.1,0.052,15,High,Medium Stock,Profit
467,The Kite Runner,41.82,39.73,-0.05,0.0172,15,Low,Medium Stock,Loss
468,The Girl on the Train,55.02,60.52,0.1,0.0926,15,High,Medium Stock,Profit
469,The Emerald Mystery,23.15,23.15,0.0,0.0444,15,Medium,Medium Stock,Neutral
470,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,32.0,0.0,0.0379,15,Medium,Medium Stock,Neutral
471,The Art of War,33.34,36.67,0.1,0.0812,15,High,Medium Stock,Profit
472,Secrets and Lace (Fatal Hearts #1),20.27,20.27,0.0,0.0353,15,Medium,Medium Stock,Neutral
473,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,35.09,-0.05,0.0075,15,Low,Medium Stock,Loss
474,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,45.17,0.1,0.0576,15,High,Medium Stock,Profit
475,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,10.76,0.0,0.0492,15,Medium,Medium Stock,Neutral
476,Large Print Heart of the Pride,19.15,18.19,-0.05,0.0123,15,Low,Medium Stock,Loss
477,Grumbles,22.16,22.16,0.0,0.0226,15,Medium,Medium Stock,Neutral
478,First Steps for New Christians (Print Edition),29.0,27.55,-0.05,0.014,15,Low,Medium Stock,Loss
479,Eureka Trivia 6.0,54.59,60.05,0.1,0.0536,15,High,Medium Stock,Profit
480,Drive: The Surprising Truth About What Motivates Us,34.95,38.44,0.1,0.0771,15,High,Medium Stock,Profit
481,Done Rubbed Out (Reightman & Bailey #1),37.72,35.83,-0.05,0.0178,15,Low,Medium Stock,Loss
482,Beauty Restored (Riley Family Legacy Novellas #3),11.11,11.11,0.0,0.0398,15,Medium,Medium Stock,Neutral
483,Ayumi's Violin,15.48,14.71,-0.05,0.0183,15,Low,Medium Stock,Loss
484,Anonymous,46.82,46.82,0.0,0.0264,15,Medium,Medium Stock,Neutral
485,Amy Meets the Saints and Sages,18.46,17.54,-0.05,0.0147,15,Low,Medium Stock,Loss
486,Amatus,50.54,50.54,0.0,0.0384,15,Medium,Medium Stock,Neutral
487,V for Vendetta (V for Vendetta Complete),37.1,37.1,0.0,0.0334,14,Medium,Medium Stock,Neutral
488,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,45.95,0.0,0.0336,14,Medium,Medium Stock,Neutral
489,The Wright Brothers,56.8,56.8,0.0,0.0226,14,Medium,Medium Stock,Neutral
490,The Songs of the Gods,44.48,42.26,-0.05,0.0087,14,Low,Medium Stock,Loss
491,The Rosie Project (Don Tillman #1),54.04,59.44,0.1,0.078,14,High,Medium Stock,Profit
492,The Power of Habit: Why We Do What We Do in Life and Business,16.88,16.88,0.0,0.0313,14,Medium,Medium Stock,Neutral
493,Steve Jobs,39.5,37.52,-0.05,0.0095,14,Low,Medium Stock,Loss
494,Luckiest Girl Alive,49.83,54.81,0.1,0.1358,14,High,Medium Stock,Profit
495,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,51.6,0.1,0.0609,14,High,Medium Stock,Profit
496,Lady Midnight (The Dark Artifices #1),16.28,16.28,0.0,0.024,14,Medium,Medium Stock,Neutral
497,"Hush, Hush (Hush, Hush #1)",47.02,44.67,-0.05,0.0101,14,Low,Medium Stock,Loss
498,Greek Mythic History,10.23,10.23,0.0,0.0303,14,Medium,Medium Stock,Neutral
499,Every Last Word,46.47,46.47,0.0,0.0279,14,Medium,Medium Stock,Neutral
500,Daily Fantasy Sports,36.58,40.24,0.1,0.073,14,High,Medium Stock,Profit
501,Clockwork Angel (The Infernal Devices #1),44.14,41.93,-0.05,0.0127,14,Low,Medium Stock,Loss
502,City of Fallen Angels (The Mortal Instruments #4),11.23,11.23,0.0,0.0333,14,Medium,Medium Stock,Neutral
503,City of Bones (The Mortal Instruments #1),43.28,41.12,-0.05,0.0163,14,Low,Medium Stock,Loss
504,City of Ashes (The Mortal Instruments #2),47.27,47.27,0.0,0.0221,14,Medium,Medium Stock,Neutral
505,"Carry On, Warrior: Thoughts on Life Unarmed",31.85,35.04,0.1,0.0614,14,High,Medium Stock,Profit
506,Carrie,46.23,43.92,-0.05,0.009,14,Low,Medium Stock,Loss
507,Angels & Demons (Robert Langdon #1),51.48,51.48,0.0,0.0319,14,Medium,Medium Stock,Neutral
508,"The Three Searches, Meaning, and the Story",13.33,14.66,0.1,0.0832,13,High,Medium Stock,Profit
509,Raspberry Pi Electronics Projects for the Evil Genius,49.67,49.67,0.0,0.0272,12,Medium,Medium Stock,Neutral
